"PROJECT","DATE","SITE","SAMPLE","SUBSTRATE","AVERAGE.DEPTH","MACRO.OM.AREA.g.m2","MACRO.ASH.AREA.g.m2"
"NFAS","44076","BN","5","COBBLE","25.5",NA,NA
"NFAS","44111","BN","1","COBBLE","31.875",NA,NA
"NFAS","44111","BN","2","COBBLE","33.25",NA,NA
"NFAS","44111","BN","3","COBBLE","34.25",NA,NA
"NFAS","44111","BN","4","COBBLE","32.75",NA,NA
"NFAS","44111","BN","5","COBBLE","29.625",NA,NA
"RASS","44032","DL","1","PEBBLE","31.125",NA,NA
"RASS","44032","DL","2","PEBBLE","24",NA,NA
"RASS","44032","DL","3","PEBBLE","29.125",NA,NA
"RASS","44032","DL","4","PEBBLE","16.125",NA,NA
"RASS","44032","DL","5","PEBBLE","25.25",NA,NA
"RASS","44032","GR","1","COBBLE","14.25",NA,NA
"RASS","44032","GR","2","COBBLE","22.875",NA,NA
"RASS","44032","GR","3","COBBLE","20.75",NA,NA
"RASS","44032","GR","4","COBBLE","35.625",NA,NA
"RASS","44032","GR","5","COBBLE","33.5",NA,NA
"RASS","44039","DL","1","PEBBLE","36.75",NA,NA
"RASS","44039","DL","2","PEBBLE","30.375",NA,NA
"RASS","44039","DL","3","PEBBLE","14.875",NA,NA
"RASS","44039","DL","4","PEBBLE","29.75",NA,NA
"RASS","44039","DL","5","PEBBLE","31",NA,NA
"RASS","44039","GR","1","COBBLE","33.9725",NA,NA
"RASS","44039","GR","2","COBBLE","29.5275",NA,NA
